id,term,category,description
10,Anchor Protocol,Smart Contracts and Protocols,"Anchor Protocol is a decentralized savings protocol on the Terra blockchain offering stable, high-yield returns on deposits of stablecoins like UST. It achieves this by lending out the deposited assets to borrowers who provide liquid staking derivatives as collateral. Anchor focuses on stable and predictable yields within the DeFi ecosystem."
11,Ankr,Miscellaneous and Emerging Technologies,"Ankr is a decentralized cloud infrastructure provider that allows developers to deploy blockchain nodes and decentralized applications (dApps) more efficiently. It offers affordable cloud computing resources by utilizing underused data centers. The ANKR token is used for payments, staking, and governance within the network’s ecosystem."
12,Aragon (ANT),Governance and Community,"Aragon is a decentralized platform built on Ethereum that enables the creation and management of decentralized autonomous organizations (DAOs). The platform offers tools for governance, fundraising, and legal frameworks. The ANT token powers the ecosystem, allowing holders to participate in governance and vote on protocol upgrades and decisions."
13,Arbitrage Trading,Trading and Market Mechanics,"Arbitrage trading involves profiting from price discrepancies of an asset across different markets or exchanges. In crypto, traders buy an asset at a lower price in one market and sell it at a higher price in another, exploiting inefficiencies and achieving risk-free or low-risk profits."
14,Arweave,Miscellaneous and Emerging Technologies,"Arweave is a blockchain-based storage protocol designed for permanent and immutable data storage. It enables users to store data forever with a one-time payment, using a unique blockweave technology. Arweave ensures data persistence and accessibility by incentivizing network participants to maintain and replicate stored data."
15,Atomic Cross-Chain Swap,Blockchain Technology and Concepts,"An atomic cross-chain swap is a smart contract-based technology that allows users to exchange cryptocurrencies across different blockchains without needing a third party. The ""atomic"" aspect ensures that the swap is either fully completed on both chains or not at all, preventing partial or failed transactions."
16,Atomic Swap,Miscellaneous and Emerging Technologies,"An atomic swap is a peer-to-peer exchange of cryptocurrencies between different blockchains without the need for intermediaries. Using smart contracts or hashed time-locked contracts (HTLCs), atomic swaps ensure both parties fulfill their obligations, allowing cross-chain transactions to occur trustlessly and securely."
17,Atomic Wallet,Wallets and Storage,"Atomic Wallet is a decentralized, non-custodial wallet that supports multiple cryptocurrencies, including Bitcoin, Ethereum, and over 500 other assets. It offers built-in Atomic Swaps for decentralized exchange between supported coins. Atomic Wallet also enables staking and offers complete user control of private keys, ensuring security and autonomy."
18,Auction,Trading and Market Mechanics,"An auction is a sales method where items, such as NFTs or digital assets, are sold to the highest bidder. Auctions can be conducted in various formats, including timed auctions, reserve price auctions, and live auctions, facilitating competitive bidding and price discovery."
19,Automated Market Maker (AMM),Decentralized Finance (DeFi) and Protocols,"An Automated Market Maker (AMM) is a decentralized protocol that uses algorithms to set prices and facilitate trades on exchanges. Instead of relying on an order book, AMMs use liquidity pools and smart contracts to automate trading and maintain market liquidity."
20,Avalanche,Miscellaneous and Emerging Technologies,"Avalanche is a blockchain platform designed for decentralized applications (dApps), financial products, and enterprise solutions. It uses a unique consensus mechanism called Avalanche consensus to achieve high throughput, low latency, and scalability. Avalanche supports interoperability, enabling users to create customized blockchains and integrate them with other networks seamlessly."
21,Axie Infinity,Metaverse and Gaming,"Axie Infinity is a blockchain-based game that combines gaming and NFTs, where players collect, breed, and battle fantasy creatures called Axies. Players can earn cryptocurrency and NFTs through gameplay, creating a play-to-earn ecosystem that rewards participation and strategy."
22,Badger DAO,Decentralized Finance (DeFi) and Protocols,"Badger DAO is a decentralized autonomous organization (DAO) focused on building products and infrastructure for Bitcoin in the DeFi ecosystem. It allows users to use Bitcoin in DeFi through tokenized assets and liquidity mining. BADGER is the governance token, used for voting on protocol updates and incentive distribution."
23,Balancer,Decentralized Finance (DeFi) and Protocols,"Balancer is a decentralized exchange and automated market maker (AMM) that allows users to create custom liquidity pools with multiple tokens and varying weights. This flexibility enables efficient trading and portfolio management, accommodating diverse asset allocations and strategies."
24,BEP-20,Miscellaneous and Emerging Technologies,"BEP-20 is a token standard on the Binance Smart Chain (BSC) similar to Ethereum's ERC-20. It defines a set of rules for creating and managing fungible tokens on the BSC network, ensuring compatibility with BSC's decentralized applications and services."
25,BEP-721,Miscellaneous and Emerging Technologies,"BEP-721 is a token standard on the Binance Smart Chain (BSC) for creating non-fungible tokens (NFTs). It provides guidelines for the issuance and management of unique digital assets, allowing for the creation of distinct, indivisible tokens that represent ownership of individual items or assets."
26,Binance Coin (BNB),Miscellaneous and Emerging Technologies,"Binance Coin (BNB) is the native cryptocurrency of the Binance ecosystem, initially launched as an ERC-20 token before migrating to Binance’s own blockchain, Binance Smart Chain (BSC). BNB is used to pay for transaction fees, participate in token sales, and more within the Binance platform, offering significant utility and rewards."
27,Binance Smart Chain (BSC),Miscellaneous and Emerging Technologies,"Binance Smart Chain (BSC) is a blockchain network running in parallel with Binance Chain. It supports smart contracts and decentralized applications (dApps), offering high-performance and low-cost transactions. BSC is compatible with the Ethereum Virtual Machine (EVM), enabling cross-chain interoperability."
28,Binance USD (BUSD),Cryptocurrencies and Tokens,"Binance USD (BUSD) is a stablecoin pegged to the U.S. dollar at a 1:1 ratio. Issued by Binance in partnership with Paxos, BUSD is used for trading, payments, and as a stable store of value on Binance’s platform. It is regulated and approved by the New York State Department of Financial Services."
29,Bitcoin,Cryptocurrencies and Tokens,"Bitcoin is a decentralized digital currency enabling peer-to-peer transactions on a blockchain network. Introduced in 2009 by an anonymous entity, Satoshi Nakamoto, Bitcoin operates without a central authority. It uses a proof-of-work consensus mechanism, relying on miners to validate and secure transactions."
30,BitGo,Wallets and Storage,"BitGo is a multi-signature wallet and security platform for institutional investors and businesses. It offers advanced security features like multi-sig transactions and insurance for digital assets. BitGo also provides custodial services and supports a wide range of cryptocurrencies, aiming to deliver a secure and compliant solution for large-scale operations."
31,Block Explorer,Blockchain Technology and Concepts,"A block explorer is an online tool that allows users to view and search blockchain data, such as transaction history, block details, and network statistics. It provides transparency and insight into blockchain activity, helping users track and verify transactions and blockchain operations."
32,Block Finalization,Blockchain Technology and Concepts,"Block finalization refers to the process by which a block of transactions is confirmed and considered immutable on a blockchain network. Once a block is finalized, it is added to the blockchain, and its contents are accepted as part of the permanent ledger."
33,Block Reward,Blockchain Technology and Concepts,"Block reward is the incentive given to miners or validators for successfully validating and adding a new block to a blockchain. It typically consists of newly minted cryptocurrency tokens and transaction fees, serving as a motivator for network participants to secure and maintain the blockchain."
34,Block Time,Blockchain Technology and Concepts,"Block time is the average duration it takes to create and add a new block to a blockchain. It measures the speed at which transactions are processed and confirmed on the network, influencing overall transaction throughput and network efficiency."
35,Blockchain,Blockchain Technology and Concepts,"A blockchain is a decentralized, distributed ledger that records transactions across multiple computers. It ensures data security, transparency, and immutability by organizing data into blocks linked chronologically. Once validated, information in a block is irreversible, making blockchain ideal for decentralized applications like cryptocurrencies."
36,Bonding,Miscellaneous and Emerging Technologies,"Bonding is a process in blockchain and DeFi where users lock up or ""bond"" their assets as collateral to participate in network activities or earn rewards. It can involve staking tokens, providing liquidity, or securing network operations, often yielding financial incentives."
37,Brave Browser,Miscellaneous and Emerging Technologies,"Brave Browser is a privacy-focused web browser that blocks ads and trackers by default, enhancing user privacy and security. It integrates blockchain technology through its Basic Attention Token (BAT), allowing users to earn rewards for viewing optional ads and supporting content creators"
38,Bridging,Miscellaneous and Emerging Technologies,"Bridging refers to the process of connecting different blockchain networks to facilitate interoperability and asset transfers between them. It enables users to move tokens or data across various blockchains, enhancing the flexibility and functionality of decentralized applications and improving cross-chain interactions."
39,Burn Address,Wallets and Storage,"A burn address is a special type of address used to permanently remove cryptocurrency from circulation. By sending tokens to a burn address, they are effectively ""burned"" or destroyed, reducing the total supply and potentially increasing the value of the remaining tokens."
40,Burn Mechanism,Wallets and Storage,"A burn mechanism is a process used to permanently remove cryptocurrency tokens from circulation, often to control supply or manage inflation. It involves sending tokens to a burn address, where they become inaccessible, thus reducing the overall supply and potentially influencing the token's value."
41,Byzantine Fault Tolerance (BFT),Blockchain Technology and Concepts,"Byzantine Fault Tolerance (BFT) is a property of distributed systems, like blockchain, that allows them to reach consensus even if some participants act maliciously or fail to operate properly. It ensures network reliability and security, enabling consensus mechanisms to function in hostile or unpredictable environments."
42,Byzantine Generals Problem,Blockchain Technology and Concepts,"The Byzantine Generals Problem is a computer science problem that illustrates the challenges of reaching consensus in decentralized systems. It demonstrates the difficulty of coordinating parties who may not trust each other, highlighting the need for mechanisms like blockchain consensus algorithms (e.g., Proof of Work) to ensure reliable communication and agreement."
43,Cardano,Cryptocurrencies and Tokens,"Cardano is a blockchain platform founded by Charles Hoskinson, a co-founder of Ethereum. It focuses on security, sustainability, and scalability through a layered architecture. Cardano uses a proof-of-stake consensus mechanism called Ouroboros and supports smart contracts, aiming to provide a more energy-efficient alternative to Ethereum."
44,Centralized Exchange (CEX),Trading and Market Mechanics,"A centralized exchange (CEX) is a trading platform where users buy and sell cryptocurrencies through an intermediary that manages transactions and custody of funds. It offers features like user accounts, customer support, and higher liquidity but involves trusting the central authority."
45,Chain Reorganization,Blockchain Technology and Concepts,"Chain reorganization occurs when a blockchain network adjusts its history by replacing an existing chain with a new one that has a longer chain of blocks. This can happen due to network forks or competing miners, potentially altering the transaction history and affecting blockchain integrity."
46,Chainlink,Miscellaneous and Emerging Technologies,"Chainlink is a decentralized oracle network that allows smart contracts to interact with real-world data. It bridges blockchain-based applications with external systems, providing reliable and tamper-proof data sources. Chainlink’s oracles are used in decentralized finance (DeFi), insurance, gaming, and various other sectors requiring real-world data inputs."
47,Chainlink Keepers,Smart Contracts and Protocols,"Chainlink Keepers is a decentralized service that automates the execution of smart contracts. Keepers monitor contract conditions and trigger actions when pre-set conditions are met, reducing the need for manual intervention. This service enhances smart contract efficiency and reliability, especially in applications requiring automated, regular maintenance tasks."
48,Chainlink VRF (Verifiable Random Function),Smart Contracts and Protocols,"Chainlink VRF (Verifiable Random Function) provides a decentralized and cryptographically secure way to generate random numbers for smart contracts. It ensures that random number generation is tamper-proof and transparent, making it ideal for use cases like lotteries, gaming, and NFT minting, where randomness and security are critical."
49,Chia (XCH),Miscellaneous and Emerging Technologies,"Chia is a blockchain platform that introduces a more eco-friendly consensus mechanism called Proof of Space and Time. Rather than using energy-intensive mining, Chia leverages unused hard drive space to secure the network. The XCH token is used for transactions, incentivizing storage and network participation."
50,Coinbase Wallet,Wallets and Storage,"Coinbase Wallet is a mobile cryptocurrency wallet developed by Coinbase, allowing users to securely store and manage their digital assets. It supports a wide range of cryptocurrencies and provides features such as private key management, dApp interaction, and seamless integration with the Coinbase exchange."
51,Coinomi Wallet,Wallets and Storage,"Coinomi is a non-custodial, multi-asset wallet supporting over 1,000 cryptocurrencies. Known for its security and privacy, Coinomi does not collect user data or track transactions. It offers built-in exchange features, allowing users to swap between assets seamlessly, and supports both mobile and desktop platforms."
52,Cold Storage,Wallets and Storage,Cold storage refers to keeping cryptocurrency offline to prevent online threats. Methods include hardware wallets and paper wallets. It enhances security by eliminating exposure to internet-based attacks but requires careful handling to avoid physical damage or loss.
53,Cold Wallet,Wallets and Storage,"A cold wallet is a cryptocurrency storage solution that is not connected to the internet, such as hardware wallets or paper wallets. It provides a high level of security by minimizing exposure to online threats and is ideal for long-term asset storage."
54,Collateralized Debt Position (CDP),Decentralized Finance (DeFi) and Protocols,"A collateralized debt position (CDP) involves locking up collateral to borrow funds from a DeFi protocol. The collateral secures the loan, and if the borrower fails to repay, the collateral may be liquidated to cover the debt, ensuring protocol stability."
55,Colony,Governance and Community,"Colony is a decentralized governance framework that allows organizations to manage decision-making, funding, and rewards without centralized authority. Using a reputation-based system, members can vote on proposals, allocate resources, and earn rewards. Colony enables decentralized work environments where governance and tasks are collectively managed."
56,Compound,Decentralized Finance (DeFi) and Protocols,"Compound is a decentralized lending and borrowing protocol where users can earn interest on their crypto assets or borrow funds by providing collateral. It uses smart contracts to automate the lending process, enabling users to earn interest or access credit in a decentralized manner."
57,Consensus Mechanism,Blockchain Technology and Concepts,"A consensus mechanism is a process used in blockchain networks to achieve agreement among distributed participants on the validity of transactions. Examples include Proof of Work (PoW) and Proof of Stake (PoS). Consensus mechanisms ensure network security, prevent double-spending, and maintain a decentralized record-keeping system."
58,Cosmos,Miscellaneous and Emerging Technologies,"Cosmos is a decentralized network of independent blockchains designed to achieve interoperability and scalability. It enables blockchains to communicate with each other using the Inter-Blockchain Communication (IBC) protocol. Cosmos aims to create an ""Internet of Blockchains,"" where different chains can exchange data, assets, and information securely and efficiently."
59,Cream Finance,Decentralized Finance (DeFi) and Protocols,"Cream Finance is a DeFi lending and borrowing protocol that allows users to lend, borrow, and stake various crypto assets. It supports a wide range of tokens, including stablecoins and altcoins. Cream also offers liquidity mining opportunities and is integrated with other DeFi platforms to enhance decentralized financial services."
60,Cross-Chain Bridge,Blockchain Technology and Concepts,"A cross-chain bridge is a protocol or technology that enables the transfer of assets or data between different blockchain networks. It facilitates interoperability by allowing users to move tokens or interact with dApps across diverse blockchain ecosystems, enhancing connectivity and functionality."
61,Cross-chain Liquidity,Decentralized Finance (DeFi) and Protocols,"Cross-chain liquidity protocols enable liquidity to move seamlessly across different blockchains. These protocols facilitate decentralized trading, asset transfers, and DeFi activities between separate networks, overcoming fragmentation and providing more accessible liquidity pools. Examples include protocols like ThorChain, which support cross-chain swaps without centralized intermediaries."
62,Cryptoeconomics,Governance and Community,"Cryptoeconomics is the study of economic incentives and mechanisms in decentralized blockchain systems. It focuses on the behaviors of network participants—like miners, validators, and stakers—and how they interact to maintain security, trust, and efficiency within the ecosystem, ensuring protocol integrity while promoting fair rewards and participation."
63,Curve,Decentralized Finance (DeFi) and Protocols,"Curve is a decentralized exchange optimized for stablecoin trading. It uses automated market makers (AMMs) to offer efficient, low-slippage swaps between stablecoins and other similar assets, enhancing trading efficiency and minimizing price impact for users."
64,Curve DAO Token (CRV),Decentralized Finance (DeFi) and Protocols,"Curve DAO Token (CRV) is the governance token for Curve Finance, a decentralized exchange designed for stablecoin trading with low fees and slippage. CRV is used to vote on platform upgrades and proposals. Curve specializes in liquidity pools for stablecoins and wrapped assets, optimizing yield farming opportunities for DeFi users."
65,Custodial Wallet,Wallets and Storage,"A custodial wallet is a type of wallet where a third party, such as an exchange or financial service, manages and secures the user's private keys. While it offers convenience, it requires trust in the custodian to safeguard the funds and provide access."
66,DAI,Cryptocurrencies and Tokens,"DAI is a decentralized stablecoin issued by MakerDAO, pegged to the US dollar and backed by crypto assets as collateral. Unlike traditional stablecoins, DAI operates autonomously through smart contracts, maintaining its peg through over-collateralization. It’s widely used in decentralized finance (DeFi) applications for trading, lending, and borrowing."
67,DAO Vote,Smart Contracts and Protocols,"DAO vote refers to the voting process within a Decentralized Autonomous Organization (DAO), where members use governance tokens to propose and vote on decisions affecting the organization. This democratic process allows stakeholders to participate in decision-making and influence the direction and operations of the DAO."
68,Dash,Cryptocurrencies and Tokens,"Dash is a cryptocurrency designed for fast, low-cost digital payments. Originally launched as a fork of Bitcoin, Dash offers features like InstantSend for near-instant transactions and PrivateSend for enhanced privacy. It operates on a two-tier network with miners and master nodes, enabling decentralized governance and enhanced scalability."
69,Debt Token,Decentralized Finance (DeFi) and Protocols,"A debt token represents a claim on a borrower’s debt within a DeFi protocol. It allows creditors to trade or manage their claims on borrowed funds, providing a way to liquidate or transfer debt positions within decentralized lending platforms."
70,Decentraland,Metaverse and Gaming,"Decentraland is a virtual reality platform built on the Ethereum blockchain, where users can buy, build, and explore virtual land and assets. It enables users to create and interact with immersive digital experiences, participate in virtual events, and trade virtual goods and properties."
71,Decentralization,Governance and Community,"Decentralization is the distribution of control and decision-making across a network or system, rather than relying on a single central authority. In blockchain and cryptocurrency, decentralization enhances security, transparency, and resilience by spreading power among multiple participants or nodes."
72,Decentralized Autonomous Organization (DAO),Smart Contracts and Protocols,"A Decentralized Autonomous Organization (DAO) is a blockchain-based entity governed by smart contracts and decentralized decision-making. It operates without central control, with decisions made through member voting using governance tokens, enabling collective management and transparent, automated governance."
73,Decentralized Exchange (DEX),Trading and Market Mechanics,"A decentralized exchange (DEX) enables users to trade cryptocurrencies directly with each other using blockchain technology, without relying on a central authority. Trades are executed via smart contracts, ensuring security and control over assets while eliminating intermediaries."
74,DeFi,Decentralized Finance (DeFi) and Protocols,"Decentralized Finance (DeFi) refers to financial services built on blockchain technology that operate without traditional intermediaries. DeFi platforms offer various services like lending, borrowing, and trading through smart contracts on decentralized networks, aiming to democratize access to financial products and services."
75,Delegated Proof of Stake (DPoS),Blockchain Technology and Concepts,"Delegated Proof of Stake (DPoS) is a consensus mechanism where stakeholders elect a small group of delegates to validate transactions and maintain the network. This system is faster and more efficient than traditional Proof of Stake, as fewer nodes are involved in consensus, reducing overhead."
76,Delegators,Governance and Community,"Delegators are individuals or entities that assign their voting power or staking rights to another participant (often a validator) in a blockchain network. This delegation helps secure the network and can earn rewards, while allowing delegators to support trusted validators without directly participating in network operations."
77,DFINITY,Miscellaneous and Emerging Technologies,"DFINITY is the foundation behind the Internet Computer, a decentralized cloud computing platform designed to run smart contracts at web speed. It aims to decentralize the internet by enabling developers to build secure, scalable applications without relying on traditional cloud providers, using the ICP (Internet Computer Protocol) token."
78,Digital Asset,Cryptocurrencies and Tokens,"A digital asset is any asset that exists in a digital form and holds value, including cryptocurrencies, NFTs, digital art, and virtual goods. Digital assets are managed and transferred using blockchain technology and can be traded, stored, or utilized in various digital ecosystems."
79,Digital Identity,Blockchain Technology and Concepts,"Digital identity is a representation of an individual or entity in the digital world, encompassing personal information, credentials, and attributes verified through digital means. It allows users to authenticate and access services, interact in virtual environments, and manage their online presence securely."
80,Directed Acyclic Graph (DAG),Blockchain Technology and Concepts,"A Directed Acyclic Graph (DAG) is a data structure used in some blockchain technologies to improve scalability and transaction speed. Unlike traditional blockchains, DAGs do not use linear blocks but instead represent transactions as interconnected nodes. DAGs allow for faster, parallel transaction confirmations without miners."
81,Dogecoin,Cryptocurrencies and Tokens,"Dogecoin is a meme-based cryptocurrency that started as a joke in 2013, featuring the popular ""Doge"" meme as its mascot. Despite its humorous origins, Dogecoin has gained a significant following, often used for tipping and microtransactions. It operates on a similar proof-of-work consensus as Bitcoin, with a higher supply cap."
82,Double Spend,Security and Attacks,"Double spend is a scenario where a cryptocurrency transaction is attempted more than once, potentially allowing the same funds to be spent multiple times. It poses a threat to the integrity of the blockchain’s transaction history."
83,Dust Attack,Security and Attacks,A dust attack involves sending small amounts of cryptocurrency (dust) to a user's address to track their transactions and potentially de-anonymize them. The goal is to gather information about the user’s transaction history and identity by analyzing their interactions on the blockchain.
84,Eclipse Attack,Security and Attacks,"An eclipse attack isolates a target node in a blockchain network by controlling or overwhelming its peer connections. By monopolizing communication, the attacker can manipulate the target’s view of the blockchain, feeding it false information, delaying transaction confirmations, or facilitating double-spending attacks."
85,EIP-1559,Smart Contracts and Protocols,"EIP-1559 is an Ethereum Improvement Proposal that introduces a new fee structure for Ethereum transactions. It aims to improve fee market efficiency by implementing a base fee mechanism that adjusts according to network demand, with a portion of fees burned, reducing overall supply and potentially stabilizing fees."
86,Electrum Wallet,Wallets and Storage,"Electrum is a lightweight Bitcoin wallet known for its speed and simplicity. It allows users to manage Bitcoin transactions without downloading the entire blockchain. Electrum supports multi-signature and cold storage setups, and its integration with hardware wallets like Trezor and Ledger enhances security for long-term storage of Bitcoin."
87,Enigma (ENG),Miscellaneous and Emerging Technologies,"Enigma is a privacy-focused decentralized computation protocol that allows smart contracts to execute confidentially. Built on the Ethereum network, Enigma enables the secure processing of private data off-chain. The ENG token facilitates operations within the network and incentivizes node operators to provide computational power for privacy-preserving applications."
88,Enjin Coin (ENJ),Metaverse and Gaming,"Enjin Coin (ENJ) is an Ethereum-based cryptocurrency used to back the value of NFTs on the Enjin platform, a blockchain ecosystem for gaming. ENJ enables the creation, trading, and integration of in-game assets, providing developers and players with a framework to tokenize and monetize virtual items."
89,EOS,Cryptocurrencies and Tokens,"EOS is a blockchain platform designed for decentralized applications (dApps), known for its scalability and flexibility. It aims to solve transaction speed and cost issues by using Delegated Proof of Stake (DPoS) for consensus. EOS also offers free transactions, making it attractive for dApp developers and users."
90,ERC-20,Smart Contracts and Protocols,"ERC-20 is a technical standard for creating fungible tokens on the Ethereum blockchain. These tokens are interoperable, meaning they can be used in a variety of decentralized applications (dApps). ERC-20 tokens follow a set of rules governing their issuance, transfer, and interaction, forming the backbone of Ethereum-based projects."
91,ERC-721,Smart Contracts and Protocols,"ERC-721 is a standard for non-fungible tokens (NFTs) on the Ethereum blockchain. Unlike ERC-20, ERC-721 tokens are unique and represent ownership of specific assets such as digital art or collectibles. Each token has distinct properties, making them ideal for creating digital scarcity and individualized items."
92,Ethereum,Cryptocurrencies and Tokens,"Ethereum is a decentralized blockchain platform that enables the creation and execution of smart contracts and decentralized applications (dApps). It introduced programmable blockchain features, fostering the development of decentralized finance (DeFi) and non-fungible tokens (NFTs). Ethereum's native currency, Ether (ETH), powers transactions and operations."
93,Etherscan,Miscellaneous and Emerging Technologies,"Etherscan is a blockchain explorer for the Ethereum network, allowing users to view and search Ethereum transactions, smart contracts, and blocks. It provides transparency by offering detailed information on addresses, transactions, and network statistics, helping users track and verify blockchain activities."
94,Evil Maid Attack,Security and Attacks,"An evil maid attack refers to a physical security breach where an attacker with brief, unsupervised access to a computer or hardware wallet installs malicious software or extracts sensitive information. The term highlights the vulnerability of unattended devices in situations like hotel stays or public spaces."
95,Exit Scam,Security and Attacks,"An exit scam occurs when a fraudulent cryptocurrency project or platform suddenly disappears after raising funds through an initial coin offering (ICO) or other means. Developers or administrators withdraw all investor funds, leaving users with worthless tokens or no access to their assets, causing significant financial losses."
96,Exodus Wallet,Wallets and Storage,"Exodus is a user-friendly, non-custodial cryptocurrency wallet that supports multiple assets, including Bitcoin, Ethereum, and various altcoins. It features an integrated exchange for easy token swapping and has both desktop and mobile versions. Exodus prioritizes ease of use and offers portfolio tracking, but users retain control over their private keys."
97,Fantom,Miscellaneous and Emerging Technologies,"Fantom is a high-speed, scalable blockchain platform designed for decentralized finance (DeFi), dApps, and enterprise use cases. It uses a unique consensus mechanism called Lachesis, a variant of Proof of Stake (PoS), which ensures faster transaction finality, low fees, and enhanced security, making it suitable for real-time applications."
98,Filecoin (FIL),Miscellaneous and Emerging Technologies,"Filecoin is a decentralized storage network where users can rent out unused storage space or pay for secure, decentralized storage services. Built on the InterPlanetary File System (IPFS), Filecoin incentivizes participants to store and retrieve data using the FIL token, aiming to create a more open, reliable data storage market."
99,Finality,Blockchain Technology and Concepts,"Finality refers to the point at which a blockchain transaction is irreversible and cannot be altered or reversed. In blockchains with strong finality, once a block is confirmed, it becomes a permanent part of the ledger, ensuring security and preventing double-spending attacks."
100,Flash Arbitrage,Smart Contracts and Protocols,"Flash arbitrage is a trading strategy that takes advantage of price discrepancies between different markets or exchanges within a short time frame, often using high-speed trading bots. It involves executing quick trades to profit from temporary price differences before they correct themselves."
101,Flash Crash,Trading and Market Mechanics,"A flash crash is a sudden and severe drop in the price of an asset or market, usually caused by large sell orders, market manipulation, or algorithmic trading. It occurs over a very short period, leading to rapid losses and potential market instability."
102,Flash Loan,Smart Contracts and Protocols,"A flash loan is a type of uncollateralized loan in DeFi that must be borrowed and repaid within a single transaction block. This allows users to leverage significant amounts of capital for arbitrage, refinancing, or other strategies, without requiring upfront collateral."
103,Flash Loan Attack,Smart Contracts and Protocols,"A flash loan attack exploits uncollateralized, instant loans provided by decentralized finance (DeFi) platforms. Attackers use these loans to manipulate market conditions, execute fraudulent transactions, or exploit vulnerabilities in smart contracts, often causing significant financial losses or protocol disruption."
104,Flashbots,Trading and Market Mechanics,Flashbots is a research and development organization focused on mitigating the negative impacts of high-frequency trading and front-running in Ethereum. They provide solutions and tools to improve the efficiency and fairness of transaction processing through a transparent and decentralized approach.
105,Flashbots Auction,Trading and Market Mechanics,Flashbots Auction is a mechanism developed by Flashbots that allows traders to submit transactions directly to miners through a private auction process. It aims to reduce front-running and improve transaction ordering by enabling fairer and more transparent transaction execution.
106,Flashbots MEV,Trading and Market Mechanics,"Flashbots MEV is an off-chain system designed to minimize Miner Extractable Value, which refers to the profit miners can gain by reordering, including, or excluding transactions in blocks. Flashbots help miners execute transactions transparently and securely while mitigating MEV risks like front-running or sandwich attacks in DeFi."
107,Floor Price,Trading and Market Mechanics,The floor price is the minimum price at which an NFT or digital asset can be purchased within a specific collection or marketplace. It represents the lowest price available for a given asset and is often used as a benchmark for the value of assets in that collection.
108,Fork,Blockchain Technology and Concepts,"A fork is a change in the protocol or rules of a blockchain, resulting in a divergence from the existing blockchain. There are two main types - hard forks, which create a new blockchain, and soft forks, which are backward-compatible updates within the same blockchain."
109,Full Node,Blockchain Technology and Concepts,"A full node is a computer in a blockchain network that fully enforces all the rules of the protocol. It downloads the entire blockchain, verifies transactions and blocks, and helps maintain the network's integrity. Full nodes are essential for decentralized networks as they increase security and decentralization."
110,Funding Rate,Trading and Market Mechanics,"The funding rate is a periodic payment between traders in perpetual contract markets to ensure the contract price stays close to the underlying asset's spot price. If the funding rate is positive, long traders pay short traders; if negative, short traders pay long traders. It balances demand and supply."
111,Futures Contract,Trading and Market Mechanics,"A futures contract is a standardized agreement to buy or sell an asset at a predetermined price at a specified future date. Futures allow traders to speculate on the price movements of assets or hedge against potential price volatility. In crypto, futures trading is widely used for leverage and speculation."
